DATASET,DATUMROUND,TIJD,LINKS,RECHTS
r10_TAC-EUP,SAT 14-11 | ROUND 10,20:00,TAC.png,EUP.png
r10_BEV-HVA,SAT 14-11 | ROUND 10,20:15,BEV.png,HVA.png
r10_HUB-VOL,SAT 14-11 | ROUND 10,20:15,HUB.png,VOL.png
r10_IZE-SPR,SAT 14-11 | ROUND 10,20:15,IZE.png,SPR.png
r10_PEL-HUP,SAT 14-11 | ROUND 10,20:15,PEL.png,HUP.png
r10_BWH-SAB,SAT 14-11 | ROUND 10,20:30,BWH.png,SAB.png
r11_HVA-TAC,TUE 17-11 | ROUND 11,19:00,HVA.png,TAC.png
r11_HUP-DFS,TUE 17-11 | ROUND 11,20:00,HUP.png,DFS.png
r11_EUP-PEL,WED 18-11 | ROUND 11,20:15,EUP.png,PEL.png
r11_HCV-IZE,WED 18-11 | ROUND 11,20:15,HCV.png,IZE.png
r11_SAB-BEV,WED 18-11 | ROUND 11,20:15,SAB.png,BEV.png
r11_BWH-VOL,THU 19-11 | ROUND 11,20:00,BWH.png,VOL.png
r11_SPR-HUB,THU 19-11 | ROUND 11,20:30,SPR.png,HUB.png
r12_SPR-VOL,SAT 21-11 | ROUND 12,18:00,SPR.png,VOL.png
r12_DFS-EUP,SAT 21-11 | ROUND 12,19:00,DFS.png,EUP.png
r12_HUP-IZE,SAT 21-11 | ROUND 12,19:00,HUP.png,IZE.png
r12_TAC-SAB,SAT 21-11 | ROUND 12,20:00,TAC.png,SAB.png
r12_BEV-BWH,SAT 21-11 | ROUND 12,20:15,BEV.png,BWH.png
r12_HUB-HCV,SAT 21-11 | ROUND 12,20:15,HUB.png,HCV.png
r12_PEL-HVA,SAT 21-11 | ROUND 12,20:15,PEL.png,HVA.png
r13_HUP-HUB,SAT 28-11 | ROUND 13,19:00,HUP.png,HUB.png
r13_HVA-DFS,SAT 28-11 | ROUND 13,19:00,HVA.png,DFS.png
r13_BWH-TAC,SAT 28-11 | ROUND 13,20:15,BWH.png,TAC.png
r13_EUP-IZE,SAT 28-11 | ROUND 13,20:15,EUP.png,IZE.png
r13_HCV-SPR,SAT 28-11 | ROUND 13,20:15,HCV.png,SPR.png
r13_SAB-PEL,SAT 28-11 | ROUND 13,20:15,SAB.png,PEL.png
r13_VOL-BEV,SUN 29-11 | ROUND 13,14:00,VOL.png,BEV.png
r14_SPR-HUP,SAT 05-12 | ROUND 14,18:00,SPR.png,HUP.png
r14_BWH-PEL,SAT 05-12 | ROUND 14,19:00,BWH.png,PEL.png
r14_HVA-IZE,SAT 05-12 | ROUND 14,19:00,HVA.png,IZE.png
r14_BEV-TAC,SAT 05-12 | ROUND 14,20:15,BEV.png,TAC.png
r14_EUP-HUB,SAT 05-12 | ROUND 14,20:15,EUP.png,HUB.png
r14_SAB-DFS,SAT 05-12 | ROUND 14,20:15,SAB.png,DFS.png
r14_VOL-HCV,SUN 06-12 | ROUND 14,14:00,VOL.png,HCV.png
r15_DFS-BWH,SAT 12-12 | ROUND 15,19:00,DFS.png,BWH.png
r15_TAC-VOL,SAT 12-12 | ROUND 15,20:00,TAC.png,VOL.png
r15_HCV-HUP,SAT 12-12 | ROUND 15,20:15,HCV.png,HUP.png
r15_HUB-HVA,SAT 12-12 | ROUND 15,20:15,HUB.png,HVA.png
r15_IZE-SAB,SAT 12-12 | ROUND 15,20:15,IZE.png,SAB.png
r15_PEL-BEV,SAT 12-12 | ROUND 15,20:15,PEL.png,BEV.png
r15_SPR-EUP,SUN 13-12 | ROUND 15,16:00,SPR.png,EUP.png
r16_HVA-SPR,SAT 19-12 | ROUND 16,19:00,HVA.png,SPR.png
